السنة,الربع,نوع المزاد,عدد_المزادات,عدد_الأصول,المنطقة,المدينة,نوع_الأصل,نوع_الصك,مجموع_قيمة_البيع
2025,3,إلكتروني,26,177,مكة المكرمة,جده,عقارات,سكني,527454000.0
2025,3,إلكتروني,17,32,الرياض,الرياض,عقارات,أخرى,206478000.0
2025,3,إلكتروني,49,218,الرياض,الرياض,عقارات,سكني,647898500.0
2025,3,إلكتروني,5,24,مكة المكرمة,الطائف,عقارات,سكني,38089000.0
2025,3,إلكتروني,2,2,المنطقة الشرقية,القطيف,عقارات,سكني,3110000.0
2025,3,إلكتروني,7,14,المنطقة الشرقية,الدمام,عقارات,سكني,37660000.0
2025,3,إلكتروني,2,2,حائل,الغزاله,عقارات,أخرى,114500.0
2025,3,إلكتروني,1,1,الرياض,الارطاويه,عقارات,غير محدد,137000.0
2025,3,إلكتروني,17,73,مكة المكرمة,مكة المكرمة,عقارات,سكني,159425000.0
2025,3,إلكتروني,1,1,الرياض,البجاديه,عقارات,سكني,35000.0
2025,3,إلكتروني,5,9,جيزان,جيزان,عقارات,غير محدد,8176000.0
2025,3,إلكتروني,8,16,المنطقة الشرقية,الاحساء,عقارات,غير محدد,13865000.0
2025,3,إلكتروني,16,40,القصيم,بريده,عقارات,غير محدد,46996000.0
2025,3,إلكتروني,6,8,عسير,ابها,عقارات,سكني,7728000.0
2025,3,إلكتروني,2,8,تبوك,تبوك,عقارات,أخرى,3161000.0
2025,3,إلكتروني,4,4,جيزان,جيزان,عقارات,سكني,2150000.0
2025,3,إلكتروني,1,10,الجوف,دومة الجندل,عقارات,غير محدد,707000.0
2025,3,إلكتروني,1,8,الجوف,طبرجل,عقارات,ارض زراعية,38910000.0
2025,3,إلكتروني,6,25,مكة المكرمة,جده,عقارات,أخرى,89040000.0
2025,3,إلكتروني,1,10,المدينة المنورة,المدينة المنورة,عقارات,غير محدد,56093000.0
2025,3,إلكتروني,1,1,القصيم,عنيزه,عقارات,أخرى,152000.0
2025,3,إلكتروني,5,7,المنطقة الشرقية,الخبر,عقارات,غير محدد,34570000.0
2025,3,إلكتروني,1,1,جيزان,صبياء,عقارات,سكني,160000.0
2025,3,إلكتروني,5,11,الجوف,القريات,عقارات,أخرى,3656000.0
2025,3,إلكتروني,10,19,مكة المكرمة,الطائف,عقارات,أخرى,19326000.0
2025,3,إلكتروني,2,3,الرياض,حريملاء,عقارات,سكني,2395000.0
2025,3,إلكتروني,6,12,حائل,حائل,عقارات,سكني,25445500.0
2025,3,إلكتروني,2,5,الرياض,شقراء,عقارات,سكني,2482000.0
2025,3,إلكتروني,6,27,حائل,حائل,عقارات,أخرى,35212000.0
2025,3,إلكتروني,2,2,عسير,الواديين,عقارات,سكني,760000.0
2025,3,إلكتروني,3,3,عسير,ابها,عقارات,غير محدد,25884000.0
2025,3,إلكتروني,2,2,عسير,خميس مشيط,عقارات,غير محدد,1061000.0
2025,3,إلكتروني,6,11,تبوك,تبوك,عقارات,سكني,8848000.0
2025,3,إلكتروني,1,8,الرياض,الدلم,عقارات,أخرى,1655000.0
2025,3,إلكتروني,1,14,الرياض,الدلم,عقارات,غير محدد,3265000.0
2025,3,إلكتروني,4,4,حائل,بقعاء,عقارات,أخرى,337000.0
2025,3,إلكتروني,9,32,المنطقة الشرقية,الدمام,عقارات,غير محدد,66779000.0
2025,3,إلكتروني,2,13,الحدود الشمالية,رفحاء,عقارات,أخرى,6145000.0
2025,3,إلكتروني,13,39,المدينة المنورة,المدينة المنورة,عقارات,سكني,59177000.0
2025,3,إلكتروني,4,7,القصيم,البكيريه,عقارات,ارض زراعية,6790000.0
2025,3,إلكتروني,7,11,الرياض,الرياض,عقارات,غير محدد,81845000.0
2025,3,إلكتروني,1,5,الباحة,المخواة,عقارات,ارض زراعية,70600.0
2025,3,إلكتروني,2,2,مكة المكرمة,مكة المكرمة,عقارات,أخرى,1510000.0
2025,3,إلكتروني,4,51,الجوف,دومة الجندل,عقارات,أخرى,10710800.0
2025,3,إلكتروني,1,1,مكة المكرمة,الطائف,عقارات,ارض زراعية,780000.0
2025,3,إلكتروني,1,1,المنطقة الشرقية,الاحساء,عقارات,ارض زراعية,726000.0
2025,3,إلكتروني,3,4,المدينة المنورة,المدينة المنورة,عقارات,ارض زراعية,15441000.0
2025,3,إلكتروني,9,17,المنطقة الشرقية,حفر الباطن,عقارات,غير محدد,4979000.0
2025,3,إلكتروني,4,9,القصيم,البكيريه,عقارات,سكني,1835000.0
2025,3,إلكتروني,3,12,الجوف,القريات,عقارات,سكني,4470000.0
2025,3,إلكتروني,4,6,مكة المكرمة,القنفذه,عقارات,سكني,8955500.0
2025,3,إلكتروني,2,53,الرياض,الدلم,عقارات,سكني,11868000.0
2025,3,إلكتروني,4,5,المنطقة الشرقية,الخفجي,عقارات,غير محدد,2594500.0
2025,3,إلكتروني,1,1,عسير,رجال المع,عقارات,سكني,91000.0
2025,3,إلكتروني,3,11,المدينة المنورة,المدينة المنورة,عقارات,أخرى,21595000.0
2025,3,إلكتروني,4,5,الرياض,المجمعه,عقارات,سكني,1889618.5228175863
2025,3,إلكتروني,3,6,المنطقة الشرقية,النعيرية,عقارات,غير محدد,1372000.0
2025,3,إلكتروني,1,1,الحدود الشمالية,عرعر,عقارات,سكني,3120000.0
2025,3,إلكتروني,4,9,المنطقة الشرقية,حفر الباطن,عقارات,سكني,5475000.0
2025,3,إلكتروني,4,7,القصيم,بريده,عقارات,أخرى,7121000.0
2025,3,إلكتروني,6,15,الجوف,سكاكا,عقارات,أخرى,15504000.0
2025,3,إلكتروني,1,1,المنطقة الشرقية,الاحساء,عقارات,أخرى,2220000.0
2025,3,إلكتروني,3,3,عسير,خميس مشيط,عقارات,سكني,1450000.0
2025,3,إلكتروني,3,4,الرياض,عفيف,عقارات,سكني,2902000.0
2025,3,إلكتروني,1,1,عسير,محايل,عقارات,سكني,460000.0
2025,3,إلكتروني,2,4,القصيم,الرس,عقارات,غير محدد,3500000.0
2025,3,إلكتروني,1,1,المدينة المنورة,الحناكية,عقارات,سكني,165000.0
2025,3,إلكتروني,3,5,مكة المكرمة,رابغ,عقارات,سكني,1677000.0
2025,3,إلكتروني,2,2,نجران,نجران,عقارات,غير محدد,1035000.0
2025,3,إلكتروني,2,2,الحدود الشمالية,طريف,عقارات,أخرى,1690000.0
2025,3,إلكتروني,1,1,مكة المكرمة,المضيلف,عقارات,سكني,1420000.0
2025,3,إلكتروني,2,2,عسير,ابها,عقارات,ارض زراعية,21280000.0
2025,3,إلكتروني,2,2,المنطقة الشرقية,العيون,عقارات,غير محدد,887000.0
2025,3,إلكتروني,7,14,القصيم,عنيزه,عقارات,غير محدد,4506000.0
2025,3,إلكتروني,2,2,الرياض,وادي الدواسر,عقارات,سكني,918000.0
2025,3,إلكتروني,1,2,عسير,طريب,عقارات,سكني,110000.0
2025,3,إلكتروني,2,2,الباحة,الباحة,عقارات,سكني,397000.0
2025,3,إلكتروني,2,3,الرياض,الافلاج,عقارات,سكني,202000.0
