السنة,الربع,نوع المزاد,عدد_المزادات,عدد_الأصول,المنطقة,المدينة,نوع_الأصل,نوع_الصك,مجموع_قيمة_البيع
2025,4,إلكتروني,1,2,القصيم,ضريه,عقارات,غير محدد,880000.0
2025,4,إلكتروني,3,49,الرياض,ضرماء,عقارات,ارض زراعية,177985000.0
2025,4,إلكتروني,51,167,الرياض,الرياض,عقارات,أخرى,647131271.34
2025,4,إلكتروني,14,28,المنطقة الشرقية,الخبر,عقارات,غير محدد,82516000.0
2025,4,إلكتروني,3,3,مكة المكرمة,مكة المكرمة,عقارات,أخرى,6325000.0
2025,4,إلكتروني,10,17,الرياض,الرياض,عقارات,غير محدد,76889500.0
2025,4,إلكتروني,3,4,الرياض,الافلاج,عقارات,أخرى,801000.0
2025,4,إلكتروني,3,3,الباحة,بلجرشي,عقارات,سكني,3631000.0
2025,4,إلكتروني,11,23,المنطقة الشرقية,الاحساء,عقارات,غير محدد,24663000.0
2025,4,إلكتروني,4,4,المنطقة الشرقية,الجبيل,عقارات,غير محدد,15520000.0
2025,4,إلكتروني,18,46,القصيم,بريده,عقارات,غير محدد,30578893.4
2025,4,إلكتروني,5,8,القصيم,البكيريه,عقارات,سكني,822500.0
2025,4,إلكتروني,18,73,مكة المكرمة,جدة,عقارات,أخرى,339018500.0
2025,4,إلكتروني,1,1,المنطقة الشرقية,الظهران,عقارات,غير محدد,960000.0
2025,4,إلكتروني,2,2,الباحة,المخواة,عقارات,سكني,170500.0
2025,4,إلكتروني,3,4,نجران,نجران,عقارات,سكني,1177000.0
2025,4,إلكتروني,11,17,المنطقة الشرقية,الدمام,عقارات,سكني,42135000.0
2025,4,إلكتروني,4,7,المنطقة الشرقية,الاحساء,عقارات,سكني,11568000.0
2025,4,إلكتروني,2,2,جيزان,صبياء,عقارات,سكني,7970000.0
2025,4,إلكتروني,10,15,عسير,خميس مشيط,عقارات,سكني,17649000.0
2025,4,إلكتروني,5,8,الرياض,المزاحميه,عقارات,ارض زراعية,4645000.0
2025,4,إلكتروني,1,1,المنطقة الشرقية,حرض,عقارات,ارض زراعية,1650000.0
2025,4,إلكتروني,2,3,نجران,نجران,عقارات,غير محدد,2244000.0
2025,4,إلكتروني,1,1,عسير,النماص,عقارات,غير محدد,1020000.0
2025,4,إلكتروني,31,50,الرياض,الرياض,عقارات,سكني,203560225.66000003
2025,4,إلكتروني,21,81,المدينة المنورة,المدينة المنورة,عقارات,سكني,162841052.0
2025,4,إلكتروني,21,72,مكة المكرمة,مكة المكرمة,عقارات,سكني,154736000.0
2025,4,إلكتروني,1,1,الرياض,المزاحميه,عقارات,غير محدد,720000.0
2025,4,إلكتروني,3,5,تبوك,تبوك,عقارات,أخرى,6039000.0
2025,4,إلكتروني,2,3,مكة المكرمة,الطائف,عقارات,سكني,21877000.0
2025,4,إلكتروني,2,2,الجوف,القريات,عقارات,سكني,646000.0
2025,4,إلكتروني,1,1,الرياض,القويعيه,عقارات,سكني,116000.0
2025,4,إلكتروني,2,3,الرياض,شقراء,عقارات,سكني,1173500.0
2025,4,إلكتروني,11,24,القصيم,عنيزه,عقارات,غير محدد,7713500.0
2025,4,إلكتروني,4,9,القصيم,بريده,عقارات,ارض زراعية,17665606.6
2025,4,إلكتروني,1,2,عسير,بيشه,عقارات,ارض زراعية,1490000.0
2025,4,إلكتروني,5,8,حائل,حائل,عقارات,أخرى,3346500.0
2025,4,إلكتروني,2,2,الرياض,المجمعه,عقارات,أخرى,2510000.0
2025,4,إلكتروني,1,1,الرياض,القويعيه,عقارات,غير محدد,243000.0
2025,4,إلكتروني,16,46,مكة المكرمة,الطائف,عقارات,أخرى,91181000.0
2025,4,إلكتروني,1,1,تبوك,بئر بن هرماس,عقارات,سكني,258000.0
2025,4,إلكتروني,6,6,مكة المكرمة,جدة,عقارات,غير محدد,69400000.0
2025,4,إلكتروني,7,12,المدينة المنورة,المدينة المنورة,عقارات,أخرى,38226000.0
2025,4,إلكتروني,13,25,حائل,حائل,عقارات,غير محدد,13324400.1
2025,4,إلكتروني,2,2,المنطقة الشرقية,الاحساء,عقارات,أخرى,1205000.0
