city,total_sale_value
الرياض,2964837997
جدة,1924319997
المدينة المنورة,620341500
مكة المكرمة,575367000
الدمام,330865290
الطائف,294969500
حائل,213976000
بريده,203681000
الخبر,200046000
ضرماء,186322000
الخرج,164140499
الاحساء,117467000
تبوك,95783500
ابها,92235000
القطيف,75544000
عنيزه,71964500
الدرعيه,69470000
جيزان,62845774
صبياء,52907725
المزاحميه,52418000
خميس مشيط,47495000
حفر الباطن,40819760
طبرجل,39769000
سكاكا,38472500
البكيريه,37441500
الدلم,34117000
الجبيل,33005000
القريات,26145000
وادي الدواسر,24581000
دومة الجندل,17036300
عرعر,16637000
المجمعه,16193000
محايل,15047000
الجموم,14800000
رفحاء,12722003
بيشه,11553000
شقراء,10864500
حوطة بني تميم,10734000
صامطة,9706500
الرس,9502000
الخفجي,9197500
القنفذه,9075500
ضمد,8993000
الباحة,8608000
البدائع,8473500
الدوادمي,7987500
احد رفيده,7922000
نجران,7680000
الزلفي,6656000
الظهران,6400000
بلجرشي,6137500
بيش,5630000
تثليث,4427000
عفيف,4405000
حريملاء,4372000
العيون,4287000
أبو عريش,4169000
ابقيق,3930500
حوطة سدير,3906000
النعيرية,3480500
المضيلف,3300000
الحريق,3250000
تيماء,3094500
رابغ,3018000
طريف,2980000
شرورة,2950000
ساجر,2910000
القويعيه,2737000
ثادق,2476500
ضريه,2270000
تمير,2245000
الشنان,2230000
البرك,2220000
أحد المسارحة,2115000
تنومة,2109500
الحايط,2046000
رنيه,1991000
المهد,1901500
رياض الخبراء,1888000
حرض,1726500
الروضة,1649500
الواديين,1600000
الاسياح,1473500
النماص,1470000
ريمة,1419000
بقعاء,1364000
المويه,1294000
الافلاج,1186000
المندق,1055000
مرات,1038000
الخرمة,1036500
بني عمرو,1020000
ظهران الجنوب,946000
بلقرن,897000
الصويدره,840000
تربه,829000
خليص,821000
رأس تنوره,820000
المذنب,735000
سراة عبيده,725000
الشملي,695000
أضم,671500
الرين,652500
الارطاويه,652500
المخواة,538100
الجمش,497500
الحناكية,462000
القرى,462000
فاراسان,459000
قلوة,457500
العرين,456000
موقق,456000
طريب,453000
ثقيف,413000
المضايا,409000
دخنه,395000
يدمة,387000
النبهانيه,375000
وادي الفرع,367500
العقيق,343500
العرضيات,334000
عقلة الصقور,323000
عيون الجواء,310000
صمخ,305000
العارضة,303000
الغزاله,285000
بئر بن هرماس,258000
الاجفر,242500
بدر,237500
القواره,220000
الشماسيه,194000
جلاجل,185000
الليث,166000
قصيباء,164000
العويقيلة,162500
الحجرة,140000
الغاط,129500
الموسم,114500
تهامة باللسمر وبللحمر,110000
البجاديه,98000
رجال المع,91000
بدر الجنوب,88000
السويرقيه,58400
مليجه,43000
عرجاء,35000
